Date,Category,Subcategory,Location,Value
28/02/2016,Appliances,Water Purifier,Location 8, 548.55 
21/04/2016,Carpenter,General Carpentry Work,Location 1, 403.21 
11/04/2016,Carpenter,Bolt And Latch,Location 10, 35.45 
26/01/2016,Electronics,Mobile,Location 8, 607.96 
08/03/2016,Electronics,Printer,Location 7, 782.96 
09/04/2016,Plumber,Toilet And Sanitary Work,Location 6, 523.79 
01/03/2016,Plumber,Pipelines And Pumps,Location 3, 740.65 
01/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 6, 76.69 
25/05/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 3, 1.48 
29/02/2016,Plumber,Bathroom Fittings,Location 1, 449.73 
18/04/2016,Appliances,Refrigerator Repair,Location 3, 427.11 
22/06/2016,Transportation,Car,Location 10, 389.56 
27/04/2016,Security,Security Guard,Location 3, 159.70 
07/06/2016,Security,Security Guard,Location 1, 232.39 
12/02/2016,Plumber,Choke Up,Location 3, 938.61 
02/06/2016,Appliances,Refrigerator Repair,Location 1, 474.19 
05/02/2016,Electrician,Fancy Lights,Location 10, 561.97 
04/03/2016,Courier,Courier Services,Location 1, 198.77 
02/07/2016,Carpenter,Furniture Installation and assembly,Location 2, 31.23 
27/03/2016,Electrician,Fans,Location 5, 372.55 
06/03/2016,Pest Control,Wood Borer Control,Location 8, 269.70 
30/03/2016,Plumber,Bathroom Fittings,Location 10, 26.71 
14/06/2016,Plumber,Choke Up,Location 4, 116.95 
24/06/2016,Plumber,Bathroom Fittings,Location 1, 297.68 
19/06/2016,Plumber,Bathroom Fittings,Location 4, 510.70 
25/05/2016,Electrician,Other Lights,Location 4, 148.79 
22/04/2016,Plumber,Bathroom Fittings,Location 1, 283.63 
06/05/2016,Appliances,Microwave Oven Repair,Location 6, 745.24 
18/02/2016,Appliances,Refrigerator Repair,Location 8, 85.08 
17/05/2016,Plumber,Leakage,Location 1, 573.21 
30/04/2016,Electrician,Fans,Location 8, 323.10 
13/06/2016,Carpenter,Furniture Repair/replacement,Location 8, 321.44 
08/06/2016,Cleaning,Furniture and Furnishings,Location 10, 776.46 
19/05/2016,Pest Control,Rat Control,Location 5, 666.09 
28/03/2016,Carpenter,General Carpentry Work,Location 4, 332.49 
02/06/2016,Electrician,Fans,Location 1, 914.98 
06/02/2016,Carpenter,Furniture Repair/replacement,Location 8, 287.87 
08/04/2016,Electrician,Fans,Location 1, 655.29 
29/03/2016,Carpenter,Furniture Repair/replacement,Location 6, 558.60 
08/04/2016,Plumber,Choke Up,Location 5, 119.07 
22/05/2016,Electronics,TV,Location 6, 345.01 
20/03/2016,Pest Control,Mosquito Control,Location 4, 573.69 
22/02/2016,Appliances,Refrigerator Repair,Location 3, 659.82 
12/05/2016,Electrician,Light Sockets/Holders,Location 9, 11.03 
17/02/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 2, 830.13 
23/02/2016,Plumber,Bathroom Fittings,Location 6, 985.37 
10/02/2016,Plumber,Leakage,Location 4, 70.04 
18/02/2016,Painter,Texture Painting,Location 4, 953.56 
07/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 1, 980.41 
01/06/2016,Painter,Regular Painting,Location 10, 955.53 
19/04/2016,Pest Control,Mosquito Control,Location 5, 681.50 
26/03/2016,Carpenter,Furniture Repair/replacement,Location 4, 13.59 
23/04/2016,Pest Control,Honey Bee Control,Location 3, 216.20 
02/06/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 624.63 
25/03/2016,Plumber,Toilet And Sanitary Work,Location 7, 537.95 
08/05/2016,Pest Control,Honey Bee Control,Location 7, 509.27 
31/03/2016,Security Systems,CCTV,Location 6, 764.76 
23/02/2016,Painter,Regular Painting,Location 10, 521.52 
03/03/2016,Electronics,Mobile,Location 5, 949.61 
08/02/2016,Carpenter,Bolt And Latch,Location 8, 398.89 
12/02/2016,Electronics,Printer,Location 5, 501.50 
24/02/2016,Carpenter,Bolt And Latch,Location 3, 339.24 
16/06/2016,Painter,Regular Painting,Location 7, 551.67 
02/05/2016,Carpenter,Furniture Repair/replacement,Location 2, 887.35 
25/04/2016,Transportation,Truck,Location 8, 455.33 
13/05/2016,Electronics,Mobile,Location 3, 903.21 
04/07/2016,Plumber,Toilet And Sanitary Work,Location 7, 950.59 
03/06/2016,Carpenter,Bolt And Latch,Location 4, 157.87 
28/03/2016,Plumber,Pipelines And Pumps,Location 4, 81.32 
19/05/2016,Plumber,Toilet And Sanitary Work,Location 2, 292.46 
15/06/2016,Plumber,Bathroom Fittings,Location 8, 813.88 
14/02/2016,Electrician,Fans,Location 9, 307.68 
21/03/2016,Plumber,Water Tank,Location 4, 279.18 
26/01/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 118.94 
30/01/2016,Plumber,Bathroom Fittings,Location 8, 862.47 
04/04/2016,Lawn and Garden,Gardening,Location 7, 832.46 
17/06/2016,Carpenter,Furniture Installation and assembly,Location 10, 943.69 
01/04/2016,Plumber,Choke Up,Location 10, 704.75 
03/06/2016,Water Supply,Mineral Water,Location 7, 314.73 
29/02/2016,Electronics,TV,Location 6, 592.57 
18/04/2016,Caterer/Cook,Catering,Location 5, 60.17 
04/03/2016,Painter,Regular Painting,Location 4, 320.36 
27/06/2016,Plumber,"Tap, Wash basin and Sink",Location 4, 811.23 
26/05/2016,Pest Control,Wood Borer Control,Location 5, 499.18 
14/06/2016,Electrician,Fans,Location 1, 103.30 
18/04/2016,Security,Security Guard,Location 6, 298.65 
22/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 4, 939.81 
03/07/2016,Appliances,Water Purifier,Location 3, 278.72 
28/04/2016,Plumber,Bathroom Fittings,Location 7, 697.05 
11/03/2016,Pest Control,Ant Control,Location 7, 983.26 
29/01/2016,Cleaning,Office,Location 5, 577.78 
20/02/2016,Plumber,Choke Up,Location 10, 904.86 
19/04/2016,Cleaning,Office,Location 10, 691.78 
02/03/2016,Electrician,"Switches, Meters and Fuses",Location 3, 587.38 
29/01/2016,Electrician,"Switches, Meters and Fuses",Location 10, 136.98 
08/05/2016,Plumber,Pipelines And Pumps,Location 4, 407.68 
30/03/2016,Appliances,Refrigerator Repair,Location 3, 559.91 
29/03/2016,Carpenter,Furniture Installation and assembly,Location 1, 293.45 
12/03/2016,Electrician,Other Lights,Location 10, 353.00 
21/02/2016,Plumber,Leakage,Location 10, 387.48 
14/05/2016,Appliances,Water Purifier,Location 6, 548.34 
19/02/2016,Electrician,Light Sockets/Holders,Location 9, 64.69 
26/02/2016,Painter,Regular Painting,Location 7, 705.02 
02/07/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 499.08 
14/06/2016,Electronics,Computer,Location 10, 283.18 
19/06/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 2, 495.29 
11/05/2016,Pest Control,Bed Bug Control,Location 3, 333.81 
21/04/2016,Plumber,Leakage,Location 9, 443.49 
27/01/2016,Electronics,Computer,Location 4, 574.71 
27/05/2016,Appliances,Water Purifier,Location 10, 387.96 
14/05/2016,Electrician,Tube Lights,Location 1, 22.69 
07/07/2016,Painter,Regular Painting,Location 1, 443.96 
06/03/2016,Carpenter,Bolt And Latch,Location 7, 769.00 
20/04/2016,Carpenter,Bolt And Latch,Location 2, 915.41 
27/06/2016,Security Systems,CCTV,Location 10, 369.48 
02/03/2016,Carpenter,General Carpentry Work,Location 2, 759.31 
06/03/2016,Electrician,Fans,Location 7, 749.73 
25/06/2016,Plumber,Choke Up,Location 2, 875.27 
04/06/2016,Carpenter,Bolt And Latch,Location 5, 62.41 
06/04/2016,Records Management,Digital Imaging,Location 2, 328.38 
04/05/2016,Electronics,Computer,Location 2, 997.11 
27/04/2016,Pest Control,Wood Borer Control,Location 5, 890.25 
26/01/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 4, 521.65 
02/03/2016,Plumber,Water Tank,Location 8, 151.70 
10/05/2016,Plumber,Plumbing Electronics,Location 7, 358.74 
03/04/2016,Electronics,Mobile,Location 9, 223.75 
29/06/2016,Electrician,Other Lights,Location 6, 58.57 
06/03/2016,Painter,Regular Painting,Location 5, 812.46 
17/03/2016,Plumber,Choke Up,Location 3, 443.76 
25/06/2016,Plumber,Toilet And Sanitary Work,Location 7, 85.94 
17/06/2016,Plumber,Toilet And Sanitary Work,Location 1, 137.84 
22/04/2016,Pest Control,Rat Control,Location 4, 662.88 
25/01/2016,Pest Control,Wood Borer Control,Location 2, 729.48 
05/06/2016,Carpenter,Furniture Installation and assembly,Location 2, 164.53 
02/07/2016,Electrician,Other Lights,Location 4, 425.71 
11/04/2016,Carpenter,Bolt And Latch,Location 1, 923.12 
12/06/2016,Lawn and Garden,Gardening,Location 6, 246.45 
01/05/2016,Carpenter,Furniture Repair/replacement,Location 8, 958.49 
02/05/2016,Cleaning,Office,Location 8, 350.83 
31/01/2016,Security,Security Guard,Location 7, 308.04 
30/03/2016,Courier,Courier Services,Location 7, 165.47 
24/01/2016,Plumber,Toilet And Sanitary Work,Location 8, 500.09 
01/04/2016,Plumber,Choke Up,Location 4, 557.77 
19/02/2016,Carpenter,Furniture Installation and assembly,Location 8, 472.66 
24/01/2016,Plumber,Bathroom Fittings,Location 10, 4.71 
21/02/2016,Pest Control,Bed Bug Control,Location 5, 627.21 
14/02/2016,Carpenter,Bolt And Latch,Location 9, 15.12 
17/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 9, 86.17 
27/05/2016,Security,Security Guard,Location 5, 200.21 
12/06/2016,Appliances,Microwave Oven Repair,Location 2, 799.13 
05/05/2016,Electrician,"Switches, Meters and Fuses",Location 5, 917.08 
13/02/2016,Appliances,Microwave Oven Repair,Location 10, 249.12 
27/06/2016,Plumber,Bathroom Fittings,Location 5, 960.14 
29/04/2016,Plumber,Bathroom Fittings,Location 2, 781.84 
03/04/2016,Painter,Texture Painting,Location 2, 225.33 
28/06/2016,Transportation,Car,Location 6, 188.91 
28/02/2016,Pest Control,Rat Control,Location 4, 359.15 
08/02/2016,Plumber,Bathroom Fittings,Location 8, 471.66 
26/02/2016,Electrician,Tube Lights,Location 1, 799.75 
17/05/2016,Carpenter,Furniture Installation and assembly,Location 5, 366.46 
25/06/2016,Electronics,Mobile,Location 6, 946.43 
05/06/2016,Plumber,Choke Up,Location 2, 383.72 
03/02/2016,Flooring,Stone & Tile Restoration,Location 5, 331.71 
31/01/2016,Plumber,Leakage,Location 10, 121.49 
24/04/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 5, 487.30 
02/07/2016,Carpenter,General Carpentry Work,Location 8, 306.51 
14/02/2016,Pest Control,Rat Control,Location 9, 19.44 
21/02/2016,Cleaning,Office,Location 10, 549.68 
27/05/2016,Carpenter,Furniture Repair/replacement,Location 1, 510.48 
22/04/2016,Transportation,Mini Tempo,Location 1, 418.62 
21/06/2016,Plumber,Bathroom Fittings,Location 3, 897.15 
10/04/2016,Plumber,Choke Up,Location 10, 38.12 
16/06/2016,Pest Control,Termite Control,Location 4, 107.56 
21/06/2016,Plumber,Bathroom Fittings,Location 1, 6.69 
15/02/2016,Electronics,Computer,Location 6, 479.92 
25/02/2016,Pest Control,Rat Control,Location 1, 32.02 
16/04/2016,Carpenter,Furniture Repair/replacement,Location 5, 768.33 
12/05/2016,Plumber,Choke Up,Location 2, 900.60 
28/05/2016,Plumber,"Tap, Wash basin and Sink",Location 5, 383.86 
13/03/2016,Carpenter,Furniture Installation and assembly,Location 9, 702.62 
07/04/2016,Plumber,Toilet And Sanitary Work,Location 5, 753.93 
05/07/2016,Plumber,Choke Up,Location 1, 847.26 
15/02/2016,"Fire, Life, and Safety",Fire Alarm System,Location 6, 975.17 
17/02/2016,Painter,Texture Painting,Location 8, 707.38 
21/03/2016,Carpenter,General Carpentry Work,Location 4, 273.29 
10/06/2016,Electrician,Fans,Location 2, 879.62 
27/03/2016,Industrial,Escalator,Location 6, 573.94 
03/03/2016,Pest Control,Ant Control,Location 7, 98.57 
17/05/2016,Electronics,Mobile,Location 1, 956.46 
10/03/2016,Electronics,Computer,Location 1, 839.39 
05/02/2016,Electronics,TV,Location 2, 332.24 
02/02/2016,Electrician,Fancy Lights,Location 1, 488.27 
16/02/2016,Electronics,Computer,Location 8, 967.80 
10/05/2016,Electronics,Computer,Location 1, 90.80 
08/06/2016,Plumber,Leakage,Location 5, 783.36 
11/05/2016,Caterer/Cook,Catering,Location 10, 295.57 
09/06/2016,Painter,Texture Painting,Location 8, 469.02 
12/02/2016,Electrician,Fans,Location 1, 972.52 
24/04/2016,Carpenter,Furniture Repair/replacement,Location 5, 786.60 
10/02/2016,Electrician,Fancy Lights,Location 1, 74.27 
02/04/2016,Electrician,"Switches, Meters and Fuses",Location 5, 180.42 
19/03/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 262.84 
01/04/2016,Plumber,"Tap, Wash basin and Sink",Location 3, 440.43 
30/06/2016,Painter,Texture Painting,Location 4, 460.79 
19/05/2016,Plumber,Choke Up,Location 5, 641.01 
28/01/2016,Plumber,Toilet And Sanitary Work,Location 10, 521.95 
24/04/2016,Carpenter,Bolt And Latch,Location 4, 937.70 
10/05/2016,Painter,Regular Painting,Location 4, 650.62 
06/04/2016,Industrial,Escalator,Location 5, 414.08 
15/04/2016,Plumber,Bathroom Fittings,Location 8, 938.71 
05/03/2016,Lawn and Garden,Landscaping,Location 9, 407.10 
30/01/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 312.44 
04/06/2016,Electronics,Computer,Location 10, 328.55 
27/05/2016,Carpenter,Furniture Installation and assembly,Location 6, 805.41 
22/05/2016,Plumber,Bathroom Fittings,Location 9, 183.80 
06/07/2016,Appliances,Refrigerator Repair,Location 2, 667.74 
01/02/2016,Electrician,Tube Lights,Location 5, 119.57 
02/04/2016,Industrial,Elevator,Location 10, 214.36 
02/02/2016,Plumber,Choke Up,Location 5, 572.90 
03/06/2016,Pest Control,Ant Control,Location 7, 958.33 
21/05/2016,Painter,Texture Painting,Location 4, 798.10 
28/02/2016,Carpenter,General Carpentry Work,Location 3, 688.62 
08/02/2016,Appliances,Water Coolers,Location 5, 250.19 
10/06/2016,Plumber,Water Tank,Location 8, 128.43 
07/05/2016,Plumber,Pipelines And Pumps,Location 3, 846.84 
21/06/2016,Plumber,Bathroom Fittings,Location 8, 125.09 
03/02/2016,Carpenter,General Carpentry Work,Location 4, 539.53 
02/07/2016,Electronics,TV,Location 6, 711.94 
11/03/2016,Testing,Food Test,Location 9, 658.66 
12/05/2016,Plumber,"Tap, Wash basin and Sink",Location 2, 831.17 
31/03/2016,Appliances,Microwave Oven Repair,Location 1, 403.82 
20/05/2016,Plumber,Choke Up,Location 9, 111.18 
02/06/2016,Carpenter,Furniture Repair/replacement,Location 7, 34.33 
16/05/2016,Plumber,Toilet And Sanitary Work,Location 2, 625.53 
19/05/2016,Electrician,Fans,Location 1, 575.66 
19/03/2016,Plumber,"Tap, Wash basin and Sink",Location 7, 104.88 
27/02/2016,Pest Control,Rat Control,Location 2, 568.11 
07/02/2016,Appliances,Microwave Oven Repair,Location 8, 404.57 
10/03/2016,Cleaning,Furniture and Furnishings,Location 3, 183.75 
20/06/2016,Appliances,Refrigerator Repair,Location 8, 9.06 
28/02/2016,Carpenter,Furniture Installation and assembly,Location 7, 304.08 
07/02/2016,Appliances,Water Purifier,Location 8, 528.67 
15/06/2016,Electrician,Other Lights,Location 6, 261.16 
11/06/2016,Plumber,Bathroom Fittings,Location 5, 616.21 
02/04/2016,Electrician,Fancy Lights,Location 3, 880.73 
18/05/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 36.60 
09/06/2016,Appliances,Water Purifier,Location 10, 744.20 
12/06/2016,Appliances,UPS,Location 6, 229.12 
30/05/2016,Pest Control,Wood Borer Control,Location 5, 29.76 
31/03/2016,Lawn and Garden,Gardening,Location 2, 34.83 
24/05/2016,Water Supply,Mineral Water,Location 9, 523.91 
04/07/2016,Painter,Regular Painting,Location 8, 87.27 
01/05/2016,Plumber,Water Tank,Location 6, 49.17 
17/02/2016,Testing,Food Test,Location 10, 511.31 
19/02/2016,Appliances,Microwave Oven Repair,Location 6, 617.75 
02/07/2016,Appliances,Water Purifier,Location 5, 826.08 
02/07/2016,Plumber,Toilet And Sanitary Work,Location 7, 679.38 
16/03/2016,Electrician,Other Lights,Location 4, 103.29 
25/02/2016,Electronics,Mobile,Location 2, 66.80 
24/04/2016,Appliances,Water Purifier,Location 2, 790.75 
26/02/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 1, 274.35 
26/04/2016,Appliances,UPS,Location 9, 779.26 
25/03/2016,Carpenter,General Carpentry Work,Location 2, 625.69 
20/04/2016,Carpenter,Furniture Repair/replacement,Location 3, 600.19 
19/06/2016,Transportation,Car,Location 6, 718.49 
02/06/2016,Carpenter,Furniture Repair/replacement,Location 7, 711.57 
11/06/2016,Carpenter,Furniture Repair/replacement,Location 9, 91.24 
23/06/2016,Painter,Regular Painting,Location 6, 822.31 
24/03/2016,Electronics,TV,Location 8, 863.06 
01/06/2016,Transportation,Truck,Location 4, 681.34 
12/02/2016,Appliances,Refrigerator Repair,Location 4, 829.02 
25/05/2016,Carpenter,Bolt And Latch,Location 7, 397.15 
21/06/2016,Flooring,Stone & Tile Restoration,Location 8, 289.72 
18/04/2016,Cleaning,Office,Location 1, 955.55 
02/06/2016,Plumber,Toilet And Sanitary Work,Location 7, 963.03 
06/03/2016,Carpenter,Bolt And Latch,Location 5, 234.93 
28/02/2016,Electronics,Mobile,Location 9, 46.74 
16/06/2016,Plumber,Leakage,Location 3, 233.92 
18/03/2016,Appliances,Refrigerator Repair,Location 10, 613.91 
25/04/2016,Carpenter,Bolt And Latch,Location 3, 627.55 
15/03/2016,Electronics,Mobile,Location 6, 908.29 
08/05/2016,Transportation,Car,Location 3, 118.78 
02/02/2016,Plumber,Bathroom Fittings,Location 9, 215.66 
04/05/2016,Plumber,Leakage,Location 9, 154.07 
13/03/2016,Appliances,Dishwasher,Location 2, 658.34 
19/04/2016,Electronics,Computer,Location 3, 321.90 
22/03/2016,Appliances,Water Purifier,Location 5, 548.99 
09/03/2016,Pest Control,Cockroach Control,Location 10, 917.93 
24/02/2016,Carpenter,Bolt And Latch,Location 1, 876.73 
30/05/2016,Records Management,Media Management,Location 10, 197.30 
22/04/2016,Security,Security Guard,Location 1, 335.83 
08/06/2016,Appliances,Coffee Machines,Location 9, 829.75 
22/02/2016,Plumber,Pipelines And Pumps,Location 10, 478.16 
17/06/2016,Electrician,Other Lights,Location 9, 913.08 
25/06/2016,Appliances,Microwave Oven Repair,Location 2, 583.52 
31/01/2016,Electronics,Mobile,Location 8, 280.09 
03/04/2016,Transportation,Truck,Location 6, 90.65 
04/02/2016,Electrician,"Switches, Meters and Fuses",Location 8, 97.08 
02/04/2016,Plumber,Toilet And Sanitary Work,Location 8, 928.06 
21/06/2016,Pest Control,Mosquito Control,Location 6, 98.32 
23/04/2016,Plumber,Bathroom Fittings,Location 1, 967.32 
15/05/2016,Security Systems,Access Control,Location 1, 557.25 
25/02/2016,Plumber,Leakage,Location 10, 807.66 
07/07/2016,Pest Control,Cockroach Control,Location 2, 832.05 
12/04/2016,Appliances,Refrigerator Repair,Location 10, 633.01 
30/03/2016,Transportation,Car,Location 4, 620.83 
22/06/2016,Electrician,"Switches, Meters and Fuses",Location 8, 850.04 
27/01/2016,Plumber,Leakage,Location 9, 954.67 
21/03/2016,Security Systems,CCTV,Location 7, 968.26 
22/06/2016,Plumber,Bathroom Fittings,Location 5, 898.63 
26/05/2016,Electrician,"Switches, Meters and Fuses",Location 9, 906.75 
14/06/2016,Security,Security Guard,Location 9, 75.81 
05/06/2016,Electronics,TV,Location 7, 886.87 
02/03/2016,Electronics,Computer,Location 1, 517.54 
01/06/2016,Flooring,Stone & Tile Restoration,Location 7, 948.03 
18/03/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 54.21 
30/01/2016,Appliances,Refrigerator Repair,Location 1, 729.61 
08/02/2016,Appliances,Refrigerator Repair,Location 3, 896.83 
06/05/2016,Appliances,Water Purifier,Location 2, 511.23 
17/02/2016,Courier,Courier Services,Location 6, 389.02 
04/06/2016,Carpenter,Furniture Installation and assembly,Location 1, 455.06 
07/06/2016,Cleaning,Furniture and Furnishings,Location 1, 547.31 
31/05/2016,Carpenter,Furniture Installation and assembly,Location 2, 346.88 
11/04/2016,Flooring,Stone & Tile Restoration,Location 6, 990.54 
17/04/2016,Plumber,Toilet And Sanitary Work,Location 1, 170.00 
27/06/2016,Electrician,Fancy Lights,Location 5, 153.90 
19/04/2016,Electronics,TV,Location 5, 768.48 
24/03/2016,Electrician,Fans,Location 5, 334.72 
24/02/2016,Carpenter,Furniture Installation and assembly,Location 4, 389.19 
09/02/2016,Appliances,Microwave Oven Repair,Location 2, 656.17 
05/06/2016,Electronics,TV,Location 10, 827.36 
25/05/2016,Electrician,Fans,Location 6, 571.81 
29/06/2016,Plumber,Pipelines And Pumps,Location 7, 394.17 
15/02/2016,Appliances,Refrigerator Repair,Location 7, 232.17 
02/05/2016,Electronics,Computer,Location 5, 171.66 
10/06/2016,Appliances,Refrigerator Repair,Location 5, 602.12 
01/05/2016,Electrician,Tube Lights,Location 7, 437.75 
04/06/2016,Plumber,Bathroom Fittings,Location 7, 111.26 
24/05/2016,Pest Control,Rat Control,Location 6, 233.76 
03/03/2016,Plumber,Choke Up,Location 3, 586.07 
13/03/2016,Carpenter,Furniture Repair/replacement,Location 5, 146.85 
26/06/2016,Caterer/Cook,Catering,Location 7, 763.27 
29/06/2016,Plumber,Choke Up,Location 5, 771.04 
25/02/2016,Cleaning,Furniture and Furnishings,Location 3, 852.29 
16/04/2016,Plumber,Choke Up,Location 4, 917.81 
21/05/2016,Plumber,Bathroom Fittings,Location 9, 623.11 
22/02/2016,Electronics,TV,Location 1, 761.58 
11/04/2016,Carpenter,Furniture Repair/replacement,Location 2, 283.83 
27/03/2016,Carpenter,Furniture Repair/replacement,Location 9, 219.79 
09/03/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 4, 98.27 
08/06/2016,Appliances,Water Purifier,Location 7, 719.99 
04/06/2016,Carpenter,Bolt And Latch,Location 5, 174.94 
01/05/2016,Plumber,Plumbing Electronics,Location 5, 92.68 
10/05/2016,Plumber,Leakage,Location 8, 748.38 
28/06/2016,Pest Control,Wood Borer Control,Location 7, 713.61 
04/02/2016,Painter,Regular Painting,Location 3, 779.88 
12/02/2016,Carpenter,Bolt And Latch,Location 8, 700.36 
02/07/2016,Carpenter,General Carpentry Work,Location 1, 911.49 
24/03/2016,Transportation,Car,Location 10, 892.50 
18/06/2016,Plumber,Bathroom Fittings,Location 2, 367.83 
25/03/2016,Electronics,Mobile,Location 3, 261.40 
28/03/2016,Plumber,Leakage,Location 7, 269.25 
08/02/2016,Pest Control,Mosquito Control,Location 4, 176.66 
03/04/2016,Appliances,Refrigerator Repair,Location 6, 533.20 
11/02/2016,Electrician,Fans,Location 9, 603.48 
22/05/2016,Security Systems,CCTV,Location 3, 540.50 
25/01/2016,Plumber,Bathroom Fittings,Location 1, 341.11 
27/05/2016,Lawn and Garden,Gardening,Location 5, 381.94 
25/06/2016,Plumber,Water Tank,Location 6, 776.59 
21/04/2016,Electrician,"Switches, Meters and Fuses",Location 7, 830.40 
19/05/2016,Pest Control,Rat Control,Location 3, 552.70 
22/02/2016,Painter,Regular Painting,Location 6, 802.62 
24/01/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 721.25 
25/01/2016,Appliances,Air Conditioner (AC) Repair and Maintenance,Location 6, 218.73 
02/04/2016,Appliances,Refrigerator Repair,Location 6, 288.13 
28/02/2016,Electrician,Light Sockets/Holders,Location 4, 374.12 
07/07/2016,Plumber,Bathroom Fittings,Location 2, 278.17 
28/03/2016,Painter,Texture Painting,Location 8, 425.98 
13/04/2016,Electronics,Computer,Location 3, 825.01 
14/05/2016,Carpenter,General Carpentry Work,Location 10, 278.39 
29/06/2016,Waste Management,Disposal,Location 3, 535.14 
09/05/2016,Painter,Regular Painting,Location 7, 643.36 
15/06/2016,Plumber,Bathroom Fittings,Location 9, 206.62 
19/03/2016,Electrician,Tube Lights,Location 7, 375.44 
23/06/2016,Plumber,Bathroom Fittings,Location 5, 167.25 
20/04/2016,Carpenter,Bolt And Latch,Location 7, 81.50 
03/06/2016,Electronics,Printer,Location 6, 645.95 
06/02/2016,Flooring,Stone & Tile Restoration,Location 10, 354.63 
06/06/2016,Plumber,Water Tank,Location 4, 27.30 
02/03/2016,Electronics,Computer,Location 9, 704.55 
28/05/2016,Electrician,Other Lights,Location 3, 830.64 
24/03/2016,Security,Security Guard,Location 1, 870.05 
06/07/2016,Electronics,Computer,Location 4, 300.61 
05/06/2016,Carpenter,General Carpentry Work,Location 8, 149.23 
22/04/2016,Plumber,Choke Up,Location 6, 532.60 
25/03/2016,Plumber,"Tap, Wash basin and Sink",Location 10, 995.17 
10/06/2016,Security Systems,Access Control,Location 4, 281.14 
29/02/2016,Carpenter,Furniture Repair/replacement,Location 10, 287.21 
13/05/2016,Plumber,Leakage,Location 5, 655.96 
08/02/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 721.30 
03/05/2016,Cleaning,Office,Location 8, 190.17 
09/04/2016,Plumber,"Tap, Wash basin and Sink",Location 9, 924.11 
17/04/2016,Electronics,Mobile,Location 3, 732.42 
14/02/2016,Electronics,TV,Location 4, 426.77 
05/04/2016,Pest Control,Mosquito Control,Location 8, 48.80 
27/02/2016,Appliances,Water Purifier,Location 4, 988.51 
12/05/2016,Carpenter,Bolt And Latch,Location 9, 996.45 
21/03/2016,Carpenter,Furniture Repair/replacement,Location 8, 258.11 
01/03/2016,Electrician,Fans,Location 4, 461.83 
18/06/2016,Plumber,Choke Up,Location 3, 690.53 
21/06/2016,Electronics,Computer,Location 3, 627.49 
18/02/2016,Electrician,"Switches, Meters and Fuses",Location 9, 429.94 
13/03/2016,Carpenter,Furniture Installation and assembly,Location 5, 685.12 
15/04/2016,Electrician,"Switches, Meters and Fuses",Location 2, 282.03 
03/07/2016,Appliances,Refrigerator Repair,Location 9, 906.53 
13/03/2016,Plumber,"Tap, Wash basin and Sink",Location 1, 660.01 
03/03/2016,Caterer/Cook,Catering,Location 1, 980.71 
12/06/2016,Appliances,Water Purifier,Location 8, 484.92 
11/04/2016,Carpenter,Bolt And Latch,Location 10, 531.23 
01/03/2016,Waste Management,Recycle,Location 7, 72.99 
03/06/2016,Plumber,Plumbing Electronics,Location 3, 249.23 
01/03/2016,Carpenter,General Carpentry Work,Location 6, 926.84 
16/05/2016,Electronics,Computer,Location 2, 961.13 
23/02/2016,Plumber,Choke Up,Location 8, 691.47 
15/04/2016,Plumber,Toilet And Sanitary Work,Location 4, 824.95 
20/02/2016,Electrician,Fans,Location 1, 569.86 
12/02/2016,Electrician,Other Lights,Location 9, 36.20 
11/02/2016,Carpenter,Furniture Installation and assembly,Location 7, 498.79 
31/01/2016,Electrician,Other Lights,Location 7, 698.62 
09/06/2016,Plumber,"Tap, Wash basin and Sink",Location 6, 793.15 
31/03/2016,Plumber,Choke Up,Location 8, 819.62 
26/01/2016,Plumber,Leakage,Location 3, 918.86 
17/02/2016,Security Systems,CCTV,Location 4, 119.28 
30/01/2016,Painter,Regular Painting,Location 6, 998.76 
19/05/2016,Plumber,Bathroom Fittings,Location 3, 698.52 
30/04/2016,Carpenter,General Carpentry Work,Location 2, 454.03 
13/05/2016,Electrician,Other Lights,Location 8, 983.42 
19/02/2016,Electronics,TV,Location 2, 216.63 
03/06/2016,Carpenter,Furniture Repair/replacement,Location 3, 316.30 
19/04/2016,Carpenter,Furniture Repair/replacement,Location 5, 748.68 
31/05/2016,Appliances,Microwave Oven Repair,Location 10, 154.65 
